REF_DATE,GEO,DGUID,Statistic,Age of reference person,"Household expenditures, summary-level categories",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household furnishings and equipment,Dollars,81,units,0,v54531055,1.1.2.14,2186,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household furnishings and equipment,Dollars,81,units,0,v54531055,1.1.2.14,1925,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household furnishings and equipment,Dollars,81,units,0,v54531055,1.1.2.14,1729,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household furnishings and equipment,Dollars,81,units,0,v54531055,1.1.2.14,2323,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household furnishings and equipment,Dollars,81,units,0,v54531055,1.1.2.14,1791,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household furnishings and equipment,Dollars,81,units,0,v54531055,1.1.2.14,2202,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household furnishings and equipment,Dollars,81,units,0,v54531055,1.1.2.14,2463,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,309,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,451,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,686,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,371,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,329,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,360,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,280,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,466,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Household appliances,Dollars,81,units,0,v54531058,1.1.2.17,,F,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3236,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3371,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3873,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3758,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3115,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3449,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3211,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3942,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Clothing and accessories,Dollars,81,units,0,v54531059,1.1.2.18,3165,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,10035,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,10722,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,9639,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,11692,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,11877,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,12437,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,11556,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,13051,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Transportation,Dollars,81,units,0,v54531064,1.1.2.23,12580,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1213,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1338,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1453,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1633,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1457,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1300,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1505,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1640,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Health care,Dollars,81,units,0,v54531067,1.1.2.26,1560,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,897,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,876,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,1104,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,1219,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,1147,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,1377,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,1185,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,1214,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal care,Dollars,81,units,0,v54531070,1.1.2.29,1326,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,3393,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,3187,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,2934,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,3471,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,3011,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,3169,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,3022,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,2983,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Recreation,Dollars,81,units,0,v54531071,1.1.2.30,3041,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,1741,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,2010,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,2058,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,3140,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,2220,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,2511,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,4017,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,5032,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Education,Dollars,81,units,0,v54531076,1.1.2.35,3689,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,124,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,160,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,101,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,203,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,104,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,122,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,150,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,114,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Reading materials and other printed matter,Dollars,81,units,0,v54531077,1.1.2.36,152,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Dollars,81,units,0,v1234868169,1.1.2.359,1864,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1188,,,t,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1157,,,t,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1458,,,t,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1412,,,t,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1412,,,t,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1291,,,t,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1073,,,t,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531078,1.1.2.37,1467,,,t,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,96,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,47,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,110,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,51,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,46,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,76,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,,F,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,,F,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Games of chance,Dollars,81,units,0,v54531079,1.1.2.38,30,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,844,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1164,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1119,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1156,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1135,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1408,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1216,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1350,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Miscellaneous expenditures,Dollars,81,units,0,v54531080,1.1.2.39,1301,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,6646,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,8248,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,6922,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,8148,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,7122,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,9569,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,8145,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,8447,,,,0
2019,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Income taxes,Dollars,81,units,0,v54531081,1.1.2.40,7664,,,,0
2010,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,3248,,,,0
2011,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,3672,,,,0
2012,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,3650,,,,0
2013,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,3780,,,,0
2014,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,3753,,,,0
2015,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,4024,,,,0
2016,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,3812,,,,0
2017,Canada,2016A000011124,Average expenditure per household,Less than 30 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531082,1.1.2.41,4267,,,,0
