REF_DATE,GEO,DGUID,Statistic,Age of reference person,"Household expenditures, summary-level categories",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,19249,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,20347,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,20760,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,21819,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,22118,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Shelter,Dollars,81,units,0,v54531089,1.1.3.6,24075,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,4902,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,5381,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,5298,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,5585,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,5375,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,5435,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,6076,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,6229,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household operations,Dollars,81,units,0,v54531095,1.1.3.12,7139,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2258,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2286,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2457,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2054,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2442,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2449,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2794,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2788,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household furnishings and equipment,Dollars,81,units,0,v54531097,1.1.3.14,2694,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,475,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,490,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,436,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,361,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,499,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,565,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,681,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,617,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Household appliances,Dollars,81,units,0,v54531100,1.1.3.17,709,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,4079,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,4130,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,3854,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,4032,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,3896,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,3806,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,4070,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,4088,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Clothing and accessories,Dollars,81,units,0,v54531101,1.1.3.18,4251,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,12669,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,12065,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,12681,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,13072,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,13240,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,13063,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,13443,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,13950,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Transportation,Dollars,81,units,0,v54531106,1.1.3.23,13661,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,1749,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,1828,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,1898,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,1972,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,1780,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,1969,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,2315,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,2073,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Health care,Dollars,81,units,0,v54531109,1.1.3.26,2223,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1111,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1151,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1329,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1364,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1274,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1391,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1477,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1294,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal care,Dollars,81,units,0,v54531112,1.1.3.29,1495,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4059,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,3945,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4124,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4114,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4101,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4173,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4265,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4075,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Recreation,Dollars,81,units,0,v54531113,1.1.3.30,4681,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,909,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1124,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1082,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1092,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1150,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1294,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1224,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1417,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Education,Dollars,81,units,0,v54531118,1.1.3.35,1410,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,180,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,239,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,198,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,189,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,142,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,152,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,144,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,144,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Reading materials and other printed matter,Dollars,81,units,0,v54531119,1.1.3.36,154,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Tobacco products, alcoholic beverages and cannabis for non-medical use",Dollars,81,units,0,v1234868209,1.1.3.359,1901,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1276,,,t,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1120,,,t,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1308,,,t,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1232,,,t,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1164,,,t,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1349,,,t,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1618,,,t,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Tobacco products and alcoholic beverages,Dollars,81,units,0,v54531120,1.1.3.37,1593,,,t,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,86,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,101,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,110,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,90,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,89,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,116,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,90,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,82,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Games of chance,Dollars,81,units,0,v54531121,1.1.3.38,78,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1054,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1471,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1416,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1506,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1610,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1407,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1824,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1633,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Miscellaneous expenditures,Dollars,81,units,0,v54531122,1.1.3.39,1625,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,13543,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,11640,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,13157,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,14294,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,14453,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,15016,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,15257,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,15314,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Income taxes,Dollars,81,units,0,v54531123,1.1.3.40,17049,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,4886,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,5083,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,5001,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,5543,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,5649,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,6074,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,6447,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,6418,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,Personal insurance payments and pension contributions,Dollars,81,units,0,v54531124,1.1.3.41,6687,,,,0
2010,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1108,,,,0
2011,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1120,,,,0
2012,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1249,,,,0
2013,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1374,,,,0
2014,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1379,,,,0
2015,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1290,,,,0
2016,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1315,,,,0
2017,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1327,,,,0
2019,Canada,2016A000011124,Average expenditure per household,30 to 39 years,"Gifts of money, support payments and charitable contributions",Dollars,81,units,0,v54531125,1.1.3.42,1518,,,,0
2010,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,86027,,,,0
2011,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,90007,,,,0
2012,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,94215,,,,0
2013,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,95481,,,,0
2014,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,103565,,,,0
2015,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,101727,,,,0
2016,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,101837,,,,0
2017,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,104478,,,,0
2019,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Total expenditure,Dollars,81,units,0,v54531126,1.1.4.1,119950,,,,0
2010,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,9225,,,,0
2011,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,9005,,,,0
2012,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,9229,,,,0
2013,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,9120,,,,0
2014,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,9925,,,,0
2015,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,10307,,,,0
2016,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,9998,,,,0
2017,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,10333,,,,0
2019,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Food expenditures,Dollars,81,units,0,v54531128,1.1.4.3,12245,,,,0
2010,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,17366,,,,0
2011,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,17715,,,,0
2012,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,19164,,,,0
2013,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,19333,,,,0
2014,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,21296,,,,0
2015,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,20817,,,,0
2016,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,21108,,,,0
2017,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,22141,,,,0
2019,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Shelter,Dollars,81,units,0,v54531131,1.1.4.6,25139,,,,0
2010,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,4563,,,,0
2011,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,4782,,,,0
2012,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,4765,,,,0
2013,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,4824,,,,0
2014,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,5300,,,,0
2015,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,5258,,,,0
2016,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,5407,,,,0
2017,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,5244,,,,0
2019,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household operations,Dollars,81,units,0,v54531137,1.1.4.12,6436,,,,0
2010,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2224,,,,0
2011,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2345,,,,0
2012,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2488,,,,0
2013,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2273,,,,0
2014,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2489,,,,0
2015,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2452,,,,0
2016,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2516,,,,0
2017,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,2698,,,,0
2019,Canada,2016A000011124,Average expenditure per household,40 to 54 years,Household furnishings and equipment,Dollars,81,units,0,v54531139,1.1.4.14,3016,,,,0
